input_smiles,molecule_name,status,bbb_probability,bbb_class,bbb_confidence,mw,logp,tpsa,rot_bonds,h_acceptors,h_donors,frac_csp3,molar_refractivity,log_s_esol,gi_absorption,lipinski_passes,pains_alerts,brenk_alerts,heavy_atoms,mol_formula
C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,,success,0.5197046523967305,permeable,0.03940930479346094,398.4450000000001,-3.256899999999998,185.46,7,11,4,0.6,96.28140000000002,-0.24051200000000184,Low,False,0,1,27,C15H22N6O5S
CC(=O)C(O)=O,,success,0.8232652095372375,permeable,0.646530419074475,88.06199999999998,-0.3399999999999999,54.37,1,2,1,0.3333333333333333,18.3168,-0.3524510666666666,High,True,0,1,6,C3H4O3
N[C@@H](CC1=CC=CC=C1)C(O)=O,,success,0.7117992150524127,permeable,0.42359843010482545,165.19199999999995,0.641,63.32,3,2,2,0.2222222222222222,45.75720000000002,-1.2344648444444442,High,True,0,0,12,C9H11NO2
[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,,success,0.5761893336140397,permeable,0.15237866722807936,244.316,0.7968,78.43,5,3,3,0.8,61.593200000000024,-2.1187432,High,True,0,2,16,C10H16N2O3S
C[N+](C)(C)CCO,,success,0.6864785043426486,permeable,0.37295700868529713,104.17299999999999,-0.3150999999999999,20.23,2,1,1,1.0,29.985199999999985,-0.8953595999999999,High,True,0,1,7,C5H14NO+
NCCCC[C@H](N)C(O)=O,,success,0.6785344943867244,permeable,0.35706898877344884,146.19,-0.4726999999999995,89.34,5,3,3,0.8333333333333334,38.5166,-0.7352436666666669,High,True,0,1,10,C6H14N2O2
[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,,success,0.6032392286005581,permeable,0.20647845720111624,176.12399999999997,-1.4074,107.22000000000001,2,6,4,0.5,35.2562,-0.28330679999999986,High,True,0,0,12,C6H8O6
N[C@@H](CC(O)=O)C(O)=O,,success,0.630939596722429,permeable,0.2618791934448581,133.10299999999998,-1.127,100.62,3,3,3,0.5,27.863999999999997,-0.12722859999999975,High,True,0,0,9,C4H7NO4
NCCC[C@H](N)C(O)=O,,success,0.678719747336378,permeable,0.35743949467275593,132.16299999999998,-0.8627999999999991,89.34,4,3,3,0.8,33.89959999999999,-0.4438466000000003,High,True,0,0,9,C5H12N2O2
N[C@@H](CCC(N)=O)C(O)=O,,success,0.7487217720716067,permeable,0.49744354414321346,146.14600000000002,-1.3361999999999998,106.41,4,3,3,0.6,34.03959999999999,-0.08429920000000007,High,True,0,0,10,C5H10N2O3
NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,,success,0.5940002298792667,permeable,0.1880004597585334,347.224,-1.8630000000000004,186.07,4,10,5,0.5,73.65509999999999,-0.9250987999999994,Low,True,0,1,23,C10H14N5O7P
CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,,success,0.6440212337893305,permeable,0.28804246757866103,278.4359999999999,5.660500000000005,37.3,13,1,1,0.6111111111111112,86.89980000000006,-4.726640422222225,Low,False,0,2,20,C18H30O2
CSCC[C@H](N)C(O)=O,,success,0.7135628488822267,permeable,0.4271256977644533,149.215,0.1513999999999998,63.32,4,3,2,0.8,38.61019999999999,-1.1885149999999998,High,True,0,0,9,C5H11NO2S
[H][C@](N)(CC1=CC=C(O)C=C1)C(O)=O,,success,0.3957437491626778,non_permeable,0.2085125016746444,181.19099999999997,0.3466000000000001,83.55000000000001,3,3,3,0.2222222222222222,47.42200000000002,-1.1481866444444444,High,True,0,0,13,C9H11NO3
C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,,success,0.6331642135403825,permeable,0.2663284270807651,416.6460000000002,5.704700000000008,60.69,6,3,3,0.7777777777777778,124.03840000000008,-6.196721755555561,High,False,0,0,30,C27H44O3
C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,,success,0.7154829882531355,permeable,0.430965976506271,568.8860000000001,10.403299999999993,40.46,10,2,2,0.45,184.10159999999948,-9.594172199999996,High,False,0,2,42,C40H56O2
N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,,success,0.6909804232860708,permeable,0.3819608465721416,240.306,-0.8083999999999993,126.64000000000001,7,6,4,0.6666666666666666,56.1384,-0.8519385333333336,High,True,0,2,14,C6H12N2O4S2
OC(=O)CCC(O)=O,,success,0.6429924800881527,permeable,0.28598496017630537,118.088,-0.06419999999999987,74.6,3,2,2,0.5,24.505599999999994,-0.7036996,High,True,0,0,8,C4H6O4
